rank,name,pos,team,proj_pts,adp,tier,dropoff,vorp,wk_cv,risk
1,Jahmyr Gibbs,RB,DET,331.4,1.0,1,6.5,210.14999999999998,0.6267715915574713,neutral
2,Bijan Robinson,RB,ATL,324.9,2.9,1,33.89999999999998,203.64999999999998,0.4703151786951028,steady
3,Ja'Marr Chase,WR,CIN,311.1,3.2,1,26.5,164.20000000000005,0.5236062862191474,steady
4,Puka Nacua,WR,LAR,312.5,4.8,1,1.3999999999999773,165.60000000000002,0.4355759596127782,steady
5,Christian McCaffrey,RB,SF,291.0,5.1,2,18.69999999999999,169.75,0.3356119038838525,steady
6,Jaxon Smith-Njigba,WR,SEA,284.6,5.2,2,4.100000000000023,137.70000000000005,0.3533773725841589,steady
7,Jonathan Taylor,RB,IND,272.3,7.4,3,11.5,151.05,0.5837858775812846,steady
8,Amon-Ra St. Brown,WR,DET,280.5,8.8,2,10.0,133.60000000000002,0.4979612961073087,steady
9,James Cook,RB,BUF,260.8,9.9,3,3.400000000000034,139.55,0.5176279667530471,steady
10,CeeDee Lamb,WR,DAL,270.5,10.4,3,8.5,123.60000000000002,0.3872505174269416,steady
11,Saquon Barkley,RB,PHI,246.7,11.2,4,2.6999999999999886,125.44999999999999,0.495478000559284,steady
12,Justin Jefferson,WR,MIN,250.4,11.3,4,0.20000000000001705,103.50000000000003,0.4886760839572593,steady
13,De'Von Achane,RB,MIA,257.4,13.8,3,2.1999999999999886,136.14999999999998,0.3477256055161346,steady
14,Ashton Jeanty,RB,LV,233.9,14.3,4,21.900000000000006,112.65,0.6024060236223555,steady
15,Omarion Hampton,RB,LAC,242.9,15.7,4,9.0,121.65,0.5355617928548121,steady
16,Chase Brown,RB,CIN,255.2,16.8,3,8.299999999999983,133.95,0.4419117176541216,steady
17,A.J. Brown,WR,NE,247.2,17.5,4,1.5,100.30000000000001,0.6639727793352102,neutral
18,Drake London,WR,ATL,250.2,17.8,4,3.0,103.30000000000001,0.68076964630376,neutral
19,Derrick Henry,RB,BAL,246.9,19.8,4,0.20000000000001705,125.65,0.6083926434547046,neutral
20,Kenneth Walker,RB,KC,244.0,20.0,4,1.0999999999999943,122.75,0.578445834117237,steady
21,Josh Allen,QB,BUF,361.5,21.0,1,35.5,84.80000000000001,0.4415744917440599,neutral
22,George Pickens,WR,DAL,245.7,22.6,4,9.0,98.80000000000001,0.5620443677391493,steady
23,Trey McBride,TE,ARI,234.9,23.5,1,19.5,134.65,0.4502373011696572,steady
24,Brock Bowers,TE,LV,253.5,23.7,1,18.599999999999994,153.25,0.68946705720659,neutral
25,Nico Collins,WR,HOU,262.0,25.0,3,11.599999999999994,115.10000000000002,0.4309849273405164,steady
26,Malik Nabers,WR,NYG,236.7,26.0,4,0.799999999999983,89.80000000000001,1.1291921057351435,volatile
27,Jeremiyah Love,RB,ARI,211.8,27.6,5,0.8000000000000114,90.55000000000001,,unknown
28,Kyren Williams,RB,LAR,208.0,28.1,5,0.30000000000001137,86.75,0.3948045964463783,steady
29,Rashee Rice,WR,KC,229.3,29.0,5,0.10000000000002274,82.40000000000003,0.4323268644947872,steady
30,Chris Olave,WR,NO,235.9,29.2,4,6.599999999999994,89.00000000000003,0.4670761131200817,steady
31,Lamar Jackson,QB,BAL,326.0,31.3,2,5.240000000000009,49.30000000000001,0.5157111554861028,neutral
32,DeVonta Smith,WR,PHI,229.2,32.3,5,1.0,82.30000000000001,0.6569766242361016,neutral
33,Javonte Williams,RB,DAL,212.0,33.5,5,0.19999999999998863,90.75,0.3965094815961133,steady
34,Breece Hall,RB,NYJ,211.0,34.2,5,3.0,89.75,0.5872302841652294,steady
35,Ladd McConkey,WR,LAC,228.2,35.6,5,0.0,81.30000000000001,0.6063379501434045,neutral
36,Tee Higgins,WR,CIN,224.4,35.8,5,0.4000000000000057,77.50000000000003,0.5831193940901223,neutral
37,Tetairoa McMillan,WR,CAR,223.0,37.6,5,0.8000000000000114,76.10000000000002,0.5697078690003722,neutral
38,Josh Jacobs,RB,GB,87.2,38.1,9,3.4000000000000057,-34.05,0.5705961318505988,steady
39,Emeka Egbuka,WR,TB,224.0,39.1,5,1.0,77.10000000000002,0.7315401744552725,volatile
40,Colston Loveland,TE,CHI,215.4,40.2,2,14.300000000000011,115.15,0.7563249297345535,volatile
41,Zay Flowers,WR,BAL,228.2,41.1,5,3.299999999999983,81.30000000000001,0.5228603557705774,steady
42,Cam Skattebo,RB,NYG,201.2,41.1,5,3.8999999999999773,79.94999999999999,0.5399159564186533,steady
43,Bucky Irving,RB,TB,197.3,43.6,5,1.3000000000000114,76.05000000000001,0.4049226391049532,steady
44,Travis Etienne,RB,NO,207.7,44.2,5,1.5999999999999943,86.44999999999999,0.4649608419097043,steady
45,Jaylen Waddle,WR,DEN,221.0,45.1,5,7.199999999999989,74.10000000000002,0.5663468529987304,neutral
46,Garrett Wilson,WR,NYJ,224.9,46.0,5,0.5,78.00000000000003,0.4853490995048741,steady
47,David Montgomery,RB,HOU,206.1,47.0,5,4.900000000000006,84.85,0.6845730207818995,neutral
48,Drake Maye,QB,NE,320.76,47.5,2,10.21999999999997,44.06,0.2502730103948115,steady
49,Tyler Warren,TE,IND,201.1,49.1,2,4.599999999999994,100.85,0.4399601064542071,steady
50,Davante Adams,WR,LAR,192.5,50.9,7,6.300000000000011,45.60000000000002,0.4295711120388687,steady
51,D'Andre Swift,RB,CHI,208.0,51.4,5,0.0,86.75,0.4669409721353325,steady
52,Joe Burrow,QB,CIN,306.12,52.7,3,2.240000000000009,29.420000000000016,0.4900213796224161,neutral
53,DJ Moore,WR,BUF,179.0,53.9,8,1.0999999999999943,32.10000000000002,0.7555777709267603,volatile
54,Quinshon Judkins,RB,CLE,196.0,53.9,5,21.19999999999999,74.75,0.5548602417835422,steady
55,Luther Burden,WR,CHI,209.0,55.2,6,1.0999999999999943,62.10000000000002,0.8843995432629368,volatile
56,Terry McLaurin,WR,WAS,213.8,56.4,6,1.4000000000000057,66.90000000000003,0.446628814773233,steady
57,TreVeyon Henderson,RB,NE,171.0,57.5,6,0.4000000000000057,49.75,0.7912217614655856,neutral
58,Sam LaPorta,TE,DET,196.5,58.6,2,16.099999999999994,96.25,0.5433860811678409,steady
59,Jameson Williams,WR,DET,206.2,59.2,6,8.599999999999994,59.30000000000001,0.5487926544355659,steady
60,Jalen Hurts,QB,PHI,310.54,59.2,3,1.8199999999999932,33.84000000000003,0.3831381263191128,steady
61,Bhayshul Tuten,RB,JAX,174.8,61.5,6,3.8000000000000114,53.55000000000001,0.8326371943145802,neutral
62,Mike Evans,WR,SF,222.2,62.0,5,1.1999999999999886,75.30000000000001,0.348574214098044,steady
63,Jadarian Price,RB,SEA,170.0,63.4,6,1.0,48.75,,unknown
64,Tucker Kraft,TE,GB,174.4,64.6,3,2.8000000000000114,74.15,0.673750614944255,neutral
65,Rome Odunze,WR,CHI,207.9,65.1,6,0.30000000000001137,61.00000000000003,0.6580167492562499,neutral
66,Jayden Daniels,QB,WAS,308.72,66.0,3,2.6000000000000227,32.02000000000004,0.3662690163069179,steady
67,Carnell Tate,WR,TEN,177.3,67.0,8,3.0,30.400000000000034,,unknown
68,Kyle Pitts,TE,ATL,171.6,68.5,3,0.19999999999998863,71.35,0.8016642175436711,volatile
69,Christian Watson,WR,GB,207.6,69.0,6,1.4000000000000057,60.70000000000002,0.579285386331346,neutral
70,Harold Fannin,TE,CLE,180.4,70.8,3,6.0,80.15,0.4917688385739012,steady
71,Caleb Williams,QB,CHI,299.34,71.1,3,2.7999999999999545,22.639999999999986,0.4127973405560338,steady
72,Jaylen Warren,RB,PIT,170.6,71.2,6,0.5999999999999943,49.349999999999994,0.4138495789396964,steady
73,Parker Washington,WR,JAX,212.4,73.0,6,3.4000000000000057,65.50000000000003,0.5661964962187878,neutral
74,Brian Thomas,WR,JAX,195.4,74.0,7,2.9000000000000057,48.50000000000003,0.505699738466728,steady
75,DK Metcalf,WR,PIT,183.3,75.5,8,4.300000000000011,36.400000000000034,0.4807139009675618,steady
76,Marvin Harrison,WR,ARI,186.2,76.6,7,2.8999999999999773,39.30000000000001,0.5653012373211366,neutral
77,Dak Prescott,QB,DAL,303.88,77.4,3,0.45999999999997954,27.180000000000007,0.4267335688088947,steady
78,Chuba Hubbard,RB,CAR,147.9,77.9,7,3.8000000000000114,26.650000000000006,0.7353548207266691,neutral
79,RJ Harvey,RB,DEN,144.1,79.7,8,7.0,22.849999999999994,0.6299685995589985,neutral
80,Courtland Sutton,WR,DEN,174.3,80.1,8,0.700000000000017,27.400000000000034,0.5790944066948097,neutral
81,Rhamondre Stevenson,RB,NE,169.0,81.0,6,7.900000000000006,47.75,0.787145270785706,neutral
82,Justin Herbert,QB,LAC,295.48,82.4,3,8.800000000000011,18.78000000000003,0.40702455975323,steady
